title,url_slug,repair_num,date,item,brand,problem,solution,cost_new,cost_of_fix,age,success,venue,related_images,description
Marshall Bluetooth Headphones,marshall_headphones,16,01-2024,Headphones,Marshall,No Bluetooth,Replace battery and NTC,???,£12.00,TODO,Yes,Sparks Repair Cafe,/images/repair_cafe/marshall_headphones/marshall_headphones_1.jpg,"Pair of Marshall wireless headphones that would work if you plugged an audio source into the 3.5mm audio jack, but wouldn’t boot and accept a bluetooth connection. Opened them up, and the battery was entirely dead! Sourced a replacement that would fit inside the headphones, but they didn’t come with an NTC resistor like the original battery. Bought a replacement NTC and put that in a suitable position and it all works fine! The standard NTC for this battery was a 10kR, but it’s worth checking with the original as if you choose the wrong ranged resistor, the onboard micro might consider it as a fault!"
Microphone Screen dodgy,microphone,17,03-2024,Microphone,TODO,Lines on screen,Clean connector,???,0p,TODO,Yes,Sparks Repair Cafe,/images/repair_cafe/microphone/microphone_1.jpg /images/repair_cafe/microphone/microphone_2.jpg /images/repair_cafe/microphone/microphone_3.jpg,"Device works fine in terms of recording audio and turning on, but there are a series of lines on the screen that don’t disappear and never turn on. Open it up, and the ribbon cable connection from the screen to the mainboard was old and slightly corroded and making a bad connection. Used a bit of switch cleaner and a Q-Tip to clean up the connector and the issue disappeared!"
Microwave,microwave,18,02-2024,Microwave,Generic,Won’t produce heat,Scrap,???,0p,TODO,No,Sparks Repair Cafe,/images/repair_cafe/microwave/microwave_1.jpg,"Don’t usually look at microwaves, but thought it might be an easy fix of a dodgy connector, as the screen would turn on and you could change dials and settings, but didn’t actually ‘go’ and start powering the microwave. I thought it would be an issue from the push buttons not making a good connection, but they all worked properly. Unfortuantely probably something with the electronic portal to hell that heats the food. Into the scrap it went, but we kept the control board to salvage components as and when we need them."
PA Kit,pa_kit,19,01-2024,Speakers,QTX Sound,Went bang!,Replace drivers and board components,£600.00,£118.28,TODO,Yes,Sparks Repair Cafe,/images/repair_cafe/PA_speakers/PA_speakers_9.jpg /images/repair_cafe/PA_speakers/PA_speakers_10.jpg /images/repair_cafe/PA_speakers/PA_speakers_12.jpg /images/repair_cafe/PA_speakers/PA_speakers_17.jpg ,"Guys came in with a PA set that had been plugged in when the bassist incorrectly wired up one of their pedals/amplifiers, then there was an awful sound and a disgusting smell, according to them. Had a cursory look at the PA deck, to make sure nothing was wrong there and didn’t see anything immediately broken. Open the speaker cabs and look at the pre-filters and the 20W resistor as part of the RLC filter had gotten so hot the legs had exploded out of both speakers! The thermal fuse on both boards inside the speakers had exploded and released their magic smoke. One of the cones sounded pretty damaged, my rubric for that being if you push in on one of the cones and hear a ‘crinkly’ sound, like a crisp packet being rustled, the driver is damaged. One speaker cone sounded exactly like that, and the other one sounded similar bit not as bad. I asked the people who brought them in, and they were happy to replace both of them at the same time so they’d sound close to similar. A colleague contacted the speaker manufacturer and suggested a replacement driver, so sourced that. Then purchased replacement components for the board and re-soldered the new ones on – sourced from https://willys-hifi.com which was a great site for this. Nice and easy fix, if a little expensive for the customers."
Black Magic Smoke Machine,mains_to_usb,20,07-2023,Mains to USB,Generic,Bang,Scrap,£15.00,0p,TODO,No,Sparks Repair Cafe,/images/repair_cafe/power_supply_module/power_supply_module_2.jpg /images/repair_cafe/power_supply_module/power_supply_module_3.jpg /images/repair_cafe/power_supply_module/power_supply_module_1.jpg,"Only including this because it was kind of funny. Somebody brought in this power adapter as it no longer worked, and when I handled it I could hear something rattling. Opened up the case and immediately saw the issue! Multiple components had exploded and were specks of dust in the case. Not worth repairing something this cheap and this destroyed, but fun to see what happens when the magic pixies don’t cooperate."
Roberts Radio Switch,roberts_radio,21,07-2023,Radio,Roberts,Won’t switch FM/DAB Mode,Replace tactile switch,£110.00,0p,TODO,Yes,Sparks Repair Cafe,/images/repair_cafe/roberts_radio_switch/roberts_radio_switch_1.jpg /images/repair_cafe/roberts_radio_switch/roberts_radio_switch_2.jpg,"Somebody brought this radio in that would turn on, but the ability to switch between FM and DAB mode wouldn’t work. Taking it apart, it was just a small tactile switch that had maxed out the lifecycle. We had another sacrificial Roberts Radio that I could salvage the switch from, and worked very happily after that. Was a bit of a pain to get at the thing however!"
Roberts Radio Voltage,roberts_radio,22,08-2023,RD-60,Roberts,Screen won’t turn on,"""Removed the buck converter,  replace with an LDO""",£120.00,~15p,TODO,Yes,Sparks Repair Cafe,/images/repair_cafe/roberts_radio_voltage/roberts_radio_voltage_1.jpg /images/repair_cafe/roberts_radio_voltage/roberts_radio_voltage_3.jpg /images/repair_cafe/roberts_radio_voltage/roberts_radio_voltage_12.jpg /images/repair_cafe/roberts_radio_voltage/roberts_radio_voltage_7.jpg /images/repair_cafe/roberts_radio_voltage/roberts_radio_voltage_8.jpg /images/repair_cafe/roberts_radio_voltage/roberts_radio_voltage_4.jpg /images/repair_cafe/roberts_radio_voltage/roberts_radio_voltage_2.jpg /images/repair_cafe/roberts_radio_voltage/roberts_radio_voltage_10.jpg /images/repair_cafe/roberts_radio_voltage/roberts_radio_voltage_5.jpg /images/repair_cafe/roberts_radio_voltage/roberts_radio_voltage_6.jpg /images/repair_cafe/roberts_radio_voltage/roberts_radio_voltage_11.jpg /images/repair_cafe/roberts_radio_voltage/roberts_radio_voltage_9.jpg,"This was a marathon! I don’t usually spend so long on repairs, but a customer came in with a radio that was very sentimental to them, as a family member had bought it for them and they loved it dearly. I spent a long time looking at what was wrong with it. For a lot of the Roberts Radio line they provide schematics, service manual and block diagram! I was very impressed with the amount of information they give. Unfortunately, this model didn’t give you any of that… So I had to analyse the circuit on the board and figure out what things should be doing, and then figure out whether what they are currently doing are as designed. I came to the conclusion eventually that one of the supply rails for the microcontroller and radio receiver, was only receiving 3.21V, which when I first spotted that assumed it would be ‘enough’ for the necessary components to use. The add-on board that manages the radio and audio processing was a black box, no documentation or datasheets anywhere to be found. I deduced that it needed a 1.2V rail, as well as a 3.3V rail. I isolated the device that was generating the 3.3V by removing a diode in the buck converter, and then added a 3.3V supply from my bench top directly into that pad to see if that was the issue, and lo and behold, it works!! Then I just had to figure out how best to do this inside the device so that I could reassemble it. As ugly as it ended up being, I replaced the buck converter with an LDO providing 3.3V, as I could find the corresponding SMD pads to match when I soldered the LDO in a specific pattern. They use buck converters for this as it’s more efficient and as you run these devices from batteries, you want them as efficient as possible, but I figured it wasn’t a huge loss by contributing to a net negative in effficiency for the device… Reassembled the radio and got a very happy customer."
Sony Walkman ,walkman,23,09-2023,Walkman,Sony,Intermittent audio connection,Get a replacement 3.5mm ,???,0p,TODO,Yes,Sparks Repair Cafe,/images/repair_cafe/sony_walkman/sony_walkman_1.jpg /images/repair_cafe/sony_walkman/sony_walkman_2.jpg,"The audio jack would only work if you pressed the audio jack in at a certain angle, so this was an obvious fix. Re-solder the connector and make sure it is making a good connection and not likely to pry off again."
Til’ the wheels come off,trolley,24,09-2023,Trolley,Generic,Wheel kept slipping off a trolley,Widen diameter of axle,???,2p,TODO,Yes,Sparks Repair Cafe,/images/repair_cafe/trolley_wheel/trolley_wheel_1.jpg /images/repair_cafe/trolley_wheel/trolley_wheel_2.jpg,"The wheel of a pull trolley kept falling off. Disassembling the mount, the plastic that holds the wheel on had lost the bend that it needs to hold the wheel on. I wrapped a load of teflon plumber’s tape around the axle to thicken it, and then forced the wheel over the bump so that it won’t come off again. Happy quick fix"
Audio Amplifier,amplifier,25,01-2024,Amplifier,Generic,USB connector not connecting,Re-solder connector,???,0p,TODO,Yes,Sparks Repair Cafe,/images/repair_cafe/usb_amplifier/usb_amplifier_1.jpg,"Bluetooth amplifier wouldn’t accept a charge from the USB cable, when looking closer the micro-usb connector had been bent off, and pulled a bunch of the traces with it off the PCB! Managed to re-heat the connector and push it down to make a connection again, and then plopped some epoxy over the back of the connector to take some of the strain out."
Vacuum ,vacuum,26,10-2023,Vacuum Cleaner,Unkown,Belt had burnt through,Replace belt and clean head,???,0p,TODO,Yes,Sparks Repair Cafe,/images/repair_cafe/vacuum1/vacuum1_3.jpg /images/repair_cafe/vacuum1/vacuum1_1.jpg /images/repair_cafe/vacuum1/vacuum1_2.jpg /images/repair_cafe/vacuum1/vacuum1_4.jpg,"The vacuum would create suction, but the head of the vacuum wouldn’t spin to pull up hair and dust. Having a look inside, the mechanism had gotten gunged up and was impossible to spin, and the belt to attach from the motor to the head had melted through. Thankfully the customers brought in a spare belt that came with the vacuum cleaner! Nice and easy fix to clean out the mechanism so that it could spin freely, and attach the new belt."
(Leaky) Water Feature ,water_feature,27,09-2023,Water Feature,Generic,Won't turn on,Clean up solder connections,£30,0p,TODO,Yes,Sparks Repair Cafe,/images/repair_cafe/water_feature/water_feature_1.jpg,TODO
Ultra 1968 Vinyl Player,ultra_vinyl,28,02-2024,Portable Vinyl Player,Ultra,Terrible sound quality,New pre-amplifier transistor,???,10p,TODO,Yes,Sparks Repair Cafe,/images/repair_cafe/vinyl_player/vinyl_player_5.jpg /images/repair_cafe/vinyl_player/vinyl_player_2.jpg /images/repair_cafe/vinyl_player/vinyl_player_3.jpg /images/repair_cafe/vinyl_player/vinyl_player_6.jpg /images/repair_cafe/vinyl_player/vinyl_player_1.jpg /images/repair_cafe/vinyl_player/vinyl_player_4.jpg,TODO
Dead Charger Shaver,shaver,29,08-2024,Phillips Shaver,Phillips,Dead charging circuit,Scrapped for parts,£60,0p,1yr,No,Sparks Repair Cafe,/images/repair_cafe/shaver/shaver_1.jpg /images/repair_cafe/shaver/shaver_2.jpg ,"Somebody brought this shaver in as it wasn't charging or working at all. Taking it apart reveals a battery that is dead, but the charging circuit was also dead! No volts provided to the battery by the charging cirucit when plugged in. No schematics available so impossible to fix."
Mazzer Burrs ,mazzer_grinder,30,04-2024,Coffee Grinder Burrs,Mazzer,Burrs hadn't been used for a while and collected moisture and started to rust,"""Rust remover, scrubbing, washing, and coating in coffee oils""",£50,5p,4yrs,Yes,Home,/images/repair_cafe/mazzer_grinder/mazzer_grinder_1.jpg /images/repair_cafe/mazzer_grinder/mazzer_grinder_2.jpg ,"I got a new Mazzer Super Jolly grinder and it's one of the projects I'm doing to refurbish it up in the way I want to. Part of that included doing up the burrs as they had accumulated a bunch of rust and were dirty. Because they will grind the beans I didn't want rust on them. Used some rust remover and plenty of scrubbing with a nylon brush and some wire wool cleaned it up after a bunch of passes. Washed off the remaining rust remover with water, then popped them in the oven at a very low temp to make sure there was no remaining moisture on them. Then I ground a whole bag of cheap beans to a very fine grind to get them covered in some bean oils to protect the surface."
Xbox One HDMI ,xbox_one,31,08-2024,Xbox One,XBOX,No HDMI signal received,Replace HDMI chip on motherboard,£100,£5.15,UnknPAown,Yes,Sparks Repair Cafe,/images/repair_cafe/xbox_one/xbox_one_1.jpg /images/repair_cafe/xbox_one/xbox_one_2.jpg,"Another volunteer said that they had come across a similar issue with xbox ones at another repair cafe, so this was nice and easy to diagnose! No HDMI signal on the output, but it boots up and displays the necessary lights. Identified the required HDMI timing IC and bought one (SN75DP159RSBR). Removed the old chip with my rework station and soldered the new chip on. Jobs a goodun!"
Kids Electric Car ,kids_car,32,06-2024,Electric Car,Range Rover,"Dead battery, won't drive","""Replace battery, replace momentary switch""",£160,£2.50,Unkown,Yes,Sparks Repair Cafe,/images/repair_cafe/kids_car/kids_car_1.jpg /images/repair_cafe/kids_car/kids_car_2.png /images/repair_cafe/kids_car/kids_car_3.jpg /images/repair_cafe/kids_car/kids_car_4.jpg,"Customer came in with a kids electric car that wouldn't drive due to a dead battery. They brought in a battery to replace which I inserted, but it still woudln't drive! Worked backwards from the motor, which worked, and found that the accelerator pedal is a momentary KCD4 switch that wasn't making the correct connection. After a bunch of attempts to fix the existing switch, I opted for buying a brand new one. Soldered in it and reassembled and had one happy small child!"
Akai Turntable ,akai_turntable,33,07-2024,Turntable,Akai,Can't sync direct drive ,Switch cleaner on potentiometers,£300+,0p + £20,Unknown,Yes,Sparks Repair Cafe,/images/repair_cafe/akai_turntable/akai_turntable_1.jpg /images/repair_cafe/akai_turntable/akai_turntable_2.jpg /images/repair_cafe/akai_turntable/akai_turntable_3.jpg,"This was a turntable that was found in the recycling bin, which we thought must be able to be fixed. Powers on, but as it's a direct drive turntable, you need to ensure the marks on the disc are synchronised with the pulsed light. These are controlled by the trimming potentiometers, which no matter how much you spinned them they didn't seem to synchronise. Opened the unit and squirted a bunch of switch cleaner into the potentiometers and there we go! When we put a record on however, we realised the stylus had been terribly abused and is missing the sharp diamond point. A new stylus is on order for £20 and we are seeing what we can do about the counterweight. This will go on to be sold at the cafe to keep our funds going."
Hair Straighteners ,hair_straighteners,34,07-2024,Hair Straighteners ,Unknown,Intermittently turning off,Re-solder wire connection,£160,0p,8 yrs,Yes,Sparks Repair Cafe,/images/repair_cafe/hair_straighteners/hair_straighteners_1.jpg /images/repair_cafe/hair_straighteners/hair_straighteners_2.jpg,"Customer brought this in, and she had the issue that when you would turn it on and use it, they would suddenly turn off! Opened them up and found that one of the main power connections to the heating element had snapped due to movement. Re-solder it and crimp it down and it works happily. One interesting note about these straighteners is that they do not have a sensor feedback to detect temperature that I could spot, so they must work on calibrated heat elements and some form of current control with a known power loss. Quite clever design inside too."
Koala Light ,koala_light,35,07-2024,Night light,Generic,Won't turn on,"""Dead battery, re-wire to be plug powered only""",£15,0p,Unknown,Yes,Home,/images/repair_cafe/koala_light/koala_light_1.jpg /images/repair_cafe/koala_light/koala_light_2.jpg,"This was an item that had been chucked into recycling that looked far too cute to bin. The issue was the cheap lithium battery had died, and the lights required it to function at all. I removed the battery and bypassed the charging circuit so that the LEDs run purely on a USB power supply. Family member is now the happy owner of this cute night light."
Kindle ,kindle,36,07-2024,Kindle e-reader,Amazon Kindle,Stuck on screen,Send to Amazon for voucher off new kindle. Dead battery,£80,0p,5 yrs,No,Sparks Repair Cafe,/images/repair_cafe/kindle/kindle_1.jpg,"Customer brought in this Kindle that was stuck on the last page she read, and wouldn't charge at all. Opened it and measured the battery voltage which should have been 4.2V, when charging it would tick up but the second you removed the charging port the voltage would instantly drop back down. It is possible to buy replacement batteries for Kindles, but Amazon also runs a scheme where you can trade in kindles for vouchers and money off a new kindle so that's what the customer did, as it was an old model anyway."
Coffee Switch ,coffee_grinder_switch,37,06-2024,Coffee Grinder,Generic,Button won't work,Glue flexible plastic,£45,0p,3ys,Yes,Sparks Repair Cafe,/images/repair_cafe/coffee_grinder_switch/coffee_grinder_switch_1.jpg /images/repair_cafe/coffee_grinder_switch/coffee_grinder_switch_2.jpg /images/repair_cafe/coffee_grinder_switch/coffee_grinder_switch_3.jpg,"We have had three of these into the cafe, all with the exact same problem. They use a piece of plastic to act as the spring for the on button, which over the liftime snaps and breaks. Thus the button becomes stuck and does not activate. The solution we have found works well is to use some hard plastic that flexes a bit and glue or drill it into a support structure."
More Roberts Radios! ,roberts_radio_buck,38,06-2024,Radio,Roberts,"""Won't boot; dead buck controller""",Replace buck with LDO with enable,£80,£3.50,5yrs	,Yes,Sparks Repair Cafe,/images/repair_cafe/roberts_radio_buck/roberts_radio_buck_1.jpg /images/repair_cafe/roberts_radio_buck/roberts_radio_buck_2.jpg /images/repair_cafe/roberts_radio_buck/roberts_radio_buck_3.jpg,"At this point I have fixed three Roberts radios so I'm somewhat the expert. Customer brought this in and wouldn't boot or show anything on the screen. Found the schematics and the service manual that gives you a flow chart to diagnose and look for voltages. One of the main supply voltages after the power in wasn't being produced! There should be a 5.3V rail being generated, but it wasn't present at all. That rail is generated by a buck controller that was sending a constant voltage to a MOSFET, so the controller was obviously dead. I tried looking for replacement parts for that controller in the same package, but to no avail. They use bucks for efficiency as this radio is able to run from batteries, but I'm not fussed about efficiencies for repairs like this. I found a suitable 5.3V LDO that I had kicking around that also has an enable pin. Wired up my little abomination with enamalled wire and hey presto! Working radio!! I think there's still an issue with something on the LCD screen as the contrast isn't that high. It's getting the necessary power, but there are supposed to be some configuration resistors but I couldn't find a datasheet for the LCD so that's as far as I was willing to go for that."
Dodgy Charger Port,laptop_charger,39,05-2024,Laptop Charging Port,Lenovo,Won't charge unless held in position,Replace charging port,£450,£12,4yrs,Yes,Sparks Repair Cafe,/images/repair_cafe/laptop_charger/laptop_charger_1.jpg /images/repair_cafe/laptop_charger/laptop_charger_2.jpg,"Customer brought this in who didn't have the funds to take it to a repair shop so we replaced the charging port for them if they paid for the parts. The issue was the connector in there relies on a piece of sprung metal to make a connection with the terminals. This over time had snapped and now only made a contact if you forced the charger into the socket, so less than ideal. Purchased a port component and soldered it at home where I had my high powered soldering iron as it required quite a bit of heat to flood the many layers in the motherboard! Often for a job like this if I don't care about the component I'm removing, I'll destroy/disassemble it in place so that less heat is being removed from my iron, so the remaining parts are smaller and require less heat to remove and I'm thus less likely to damage the board from heat. Soldered the new one in place and happily charges now."
